id,session_id,participant_id,task,t_ms,x,y,page_w,page_h,ts_utc,created_at
1679,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4082,110,138,1440,812,2025-11-28 11:26:42.879+00,2025-11-28 11:27:37.425373+00
1680,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4121,109,139,1440,812,2025-11-28 11:26:42.919+00,2025-11-28 11:27:37.425373+00
1681,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4161,106,140,1440,812,2025-11-28 11:26:42.958+00,2025-11-28 11:27:37.425373+00
1682,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4202,103,141,1440,812,2025-11-28 11:26:42.999+00,2025-11-28 11:27:37.425373+00
1683,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4242,101,142,1440,812,2025-11-28 11:26:43.039+00,2025-11-28 11:27:37.425373+00
1684,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4281,98,145,1440,812,2025-11-28 11:26:43.079+00,2025-11-28 11:27:37.425373+00
1685,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4321,92,149,1440,812,2025-11-28 11:26:43.119+00,2025-11-28 11:27:37.425373+00
1686,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4361,89,152,1440,812,2025-11-28 11:26:43.159+00,2025-11-28 11:27:37.425373+00
1687,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4401,86,155,1440,812,2025-11-28 11:26:43.198+00,2025-11-28 11:27:37.425373+00
1688,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4442,86,156,1440,812,2025-11-28 11:26:43.239+00,2025-11-28 11:27:37.425373+00
1689,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4482,85,157,1440,812,2025-11-28 11:26:43.279+00,2025-11-28 11:27:37.425373+00
1690,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4522,84,159,1440,812,2025-11-28 11:26:43.32+00,2025-11-28 11:27:37.425373+00
1691,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4561,83,160,1440,812,2025-11-28 11:26:43.359+00,2025-11-28 11:27:37.425373+00
1692,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4601,82,161,1440,812,2025-11-28 11:26:43.398+00,2025-11-28 11:27:37.425373+00
1693,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4641,81,163,1440,812,2025-11-28 11:26:43.439+00,2025-11-28 11:27:37.425373+00
1694,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4681,81,164,1440,812,2025-11-28 11:26:43.479+00,2025-11-28 11:27:37.425373+00
1695,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4722,80,164,1440,812,2025-11-28 11:26:43.519+00,2025-11-28 11:27:37.425373+00
1696,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4762,80,164,1440,812,2025-11-28 11:26:43.559+00,2025-11-28 11:27:37.425373+00
1697,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4802,80,164,1440,812,2025-11-28 11:26:43.599+00,2025-11-28 11:27:37.425373+00
1698,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4842,80,164,1440,812,2025-11-28 11:26:43.639+00,2025-11-28 11:27:37.425373+00
1699,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4881,80,164,1440,812,2025-11-28 11:26:43.679+00,2025-11-28 11:27:37.425373+00
1700,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4922,80,164,1440,812,2025-11-28 11:26:43.72+00,2025-11-28 11:27:37.425373+00
1701,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4962,80,164,1440,812,2025-11-28 11:26:43.76+00,2025-11-28 11:27:37.425373+00
1702,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,5002,80,164,1440,812,2025-11-28 11:26:43.799+00,2025-11-28 11:27:37.425373+00
1703,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,5041,80,164,1440,812,2025-11-28 11:26:43.839+00,2025-11-28 11:27:37.425373+00
1704,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,5082,80,164,1440,812,2025-11-28 11:26:43.88+00,2025-11-28 11:27:37.425373+00
1705,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,5122,80,164,1440,812,2025-11-28 11:26:43.919+00,2025-11-28 11:27:37.425373+00
